hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-11 19:46:14,8.6,76.3,22.7,550879068,2276143165
2026-05-11 19:46:15,4.5,76.3,22.7,550879176,2276143700
2026-05-11 19:46:16,7.0,76.3,22.7,550880765,2276147811
2026-05-11 19:46:17,4.9,76.4,22.7,550965027,2276152266
2026-05-11 19:46:18,4.2,76.4,22.7,550965135,2276152852
2026-05-11 19:46:19,14.5,76.8,22.7,551099053,2276159363
2026-05-11 19:46:20,30.1,77.3,22.7,551099466,2276161085
2026-05-11 19:46:21,8.9,77.4,22.7,551099790,2276163000
2026-05-11 19:46:22,7.2,77.1,22.7,551349929,2276167952
2026-05-11 19:46:23,39.3,77.3,22.7,551350145,2276169173
2026-05-11 19:46:24,9.8,76.9,22.7,551350361,2276170756
2026-05-11 19:46:25,12.3,77.0,22.7,551583818,2276175005
2026-05-11 19:46:26,4.5,76.8,22.7,551584008,2276175730
2026-05-11 19:46:27,12.6,77.2,22.7,551701290,2276179151
2026-05-11 19:46:28,39.4,77.3,22.7,551701398,2276179895
2026-05-11 19:46:29,13.9,77.6,22.7,551801678,2276181835
2026-05-11 19:46:30,14.5,77.8,22.7,551802002,2276184210
2026-05-11 19:46:31,12.5,77.9,22.7,551802326,2276185524
2026-05-11 19:46:32,35.0,78.2,22.7,552019914,2276190558
2026-05-11 19:46:33,8.9,77.9,22.7,552029393,2276198295
2026-05-11 19:46:34,12.7,78.1,22.7,552229730,2276204020
2026-05-11 19:46:35,8.9,78.3,22.7,552230054,2276206137
2026-05-11 19:46:36,12.0,79.0,22.7,552233385,2276209145
2026-05-11 19:46:37,10.8,79.3,22.7,552533378,2276215359
2026-05-11 19:46:38,13.7,79.9,22.7,552535477,2276225037
2026-05-11 19:46:39,17.6,80.3,22.7,552535855,2276226681
2026-05-11 19:46:40,18.6,80.6,22.7,552739954,2276235786
2026-05-11 19:46:41,21.6,80.5,22.7,552796931,2276243952
2026-05-11 19:46:42,13.9,80.7,22.7,552797434,2276246247
2026-05-11 19:46:43,17.5,81.1,22.7,552850973,2276249436
2026-05-11 19:46:44,12.4,81.4,22.7,552851063,2276249618
2026-05-11 19:46:45,15.4,81.7,22.7,552902572,2276250932
2026-05-11 19:46:46,21.8,82.0,22.7,552905322,2276251674
2026-05-11 19:46:47,22.1,81.9,22.7,552907462,2276260224
2026-05-11 19:46:48,17.6,81.8,22.7,552907587,2276260455
2026-05-11 19:46:49,12.4,81.9,22.7,552907587,2276260617
2026-05-11 19:46:50,21.0,80.0,22.7,552907587,2276260719
2026-05-11 19:46:51,18.0,80.0,22.7,552907587,2276260821
2026-05-11 19:46:52,9.5,68.0,22.7,552907587,2276260863
2026-05-11 19:46:53,17.2,65.8,22.7,552907669,2276261157
2026-05-11 19:46:54,10.3,58.7,22.7,552908892,2276261642
2026-05-11 19:46:55,7.0,58.8,22.7,552908892,2276261744
2026-05-11 19:46:56,3.9,58.8,22.7,552908892,2276261786
2026-05-11 19:46:57,3.5,58.8,22.7,552908892,2276262412
2026-05-11 19:46:58,31.5,58.9,22.7,552908892,2276262514
2026-05-11 19:46:59,4.8,58.9,22.7,552908892,2276262616
2026-05-11 19:47:00,5.9,58.9,22.7,552909974,2276262908
2026-05-11 19:47:01,4.3,58.9,22.7,552910386,2276263400
2026-05-11 19:47:02,4.0,58.9,22.7,552910760,2276263906
2026-05-11 19:47:03,3.1,58.9,22.7,552910831,2276264074
2026-05-11 19:47:04,15.8,58.8,22.7,552910902,2276264242
2026-05-11 19:47:05,11.0,58.9,22.7,552910973,2276264410
2026-05-11 19:47:06,4.7,58.9,22.7,552912117,2276264821
2026-05-11 19:47:07,2.5,58.9,22.7,552912117,2276265327
2026-05-11 19:47:08,3.7,58.9,22.7,552913670,2276269214
2026-05-11 19:47:09,35.7,59.0,22.7,552914282,2276274426
2026-05-11 19:47:10,6.1,59.1,22.7,552917382,2276278434
2026-05-11 19:47:11,4.9,59.1,22.7,552917737,2276278820
2026-05-11 19:47:12,3.1,59.1,22.7,552918024,2276280682
2026-05-11 19:47:13,3.0,59.2,22.7,552918248,2276281049
2026-05-11 19:47:14,1.8,59.2,22.7,552918400,2276281376
2026-05-11 19:47:15,3.5,59.2,22.7,552918471,2276281486
2026-05-11 19:47:16,3.2,59.2,22.7,552918471,2276281648
2026-05-11 19:47:17,5.8,59.2,22.7,552920422,2276287673
2026-05-11 19:47:18,3.5,59.1,22.7,552920493,2276287843
2026-05-11 19:47:19,2.8,59.1,22.7,552920493,2276287885
2026-05-11 19:47:20,3.8,59.1,22.7,552920493,2276288047
2026-05-11 19:47:21,15.5,59.6,22.7,552974031,2276299463
2026-05-11 19:47:22,13.1,59.8,22.7,552978566,2276368792
2026-05-11 19:47:23,5.1,59.9,22.7,553069751,2276377704
2026-05-11 19:47:24,8.0,59.9,22.7,553069751,2276377908
2026-05-11 19:47:25,8.0,59.9,22.7,553071050,2276378310
2026-05-11 19:47:26,16.8,58.8,22.7,553088598,2276379371
2026-05-11 19:47:27,8.0,58.8,22.7,553088669,2276379945
2026-05-11 19:47:28,5.3,58.8,22.7,553088759,2276380247
2026-05-11 19:47:29,4.0,58.8,22.7,553106133,2276380913
2026-05-11 19:47:31,4.7,58.7,22.7,553106207,2276381088
2026-05-11 19:47:31,7.6,58.7,22.7,553106711,2276381593
2026-05-11 19:47:32,7.1,58.7,22.7,553162615,2276387787
2026-05-11 19:47:33,37.6,58.9,22.7,553163106,2276388361
2026-05-11 19:47:34,10.0,59.0,22.7,553163464,2276390225
2026-05-11 19:47:35,8.7,58.9,22.7,553164707,2276390460
2026-05-11 19:47:36,8.0,59.0,22.7,553167369,2276393438
2026-05-11 19:47:37,7.9,58.7,22.7,553167440,2276394070
2026-05-11 19:47:38,26.2,58.8,22.7,553167511,2276394112
2026-05-11 19:47:39,28.7,59.2,22.7,553169340,2276402739
2026-05-11 19:47:40,26.4,59.2,22.7,553169543,2276403017
2026-05-11 19:47:41,31.1,60.2,22.7,553170307,2276404467
2026-05-11 19:47:42,9.9,59.9,22.7,553170307,2276404509
2026-05-11 19:47:44,4.5,59.9,22.7,553170549,2276405078
2026-05-11 19:47:45,4.3,59.9,22.7,553170549,2276405180
2026-05-11 19:47:46,3.1,59.9,22.7,553170631,2276405354
2026-05-11 19:47:47,2.7,59.9,22.7,553172183,2276409681
2026-05-11 19:50:21,11.5,63.2,22.7,558715031,2277697493
2026-05-11 19:50:26,3.2,63.2,22.7,558718620,2277702264
2026-05-11 19:50:28,2.8,63.2,22.7,558719008,2277704832
2026-05-11 19:50:29,3.5,63.2,22.7,558719079,2277705042
2026-05-11 19:50:30,2.2,63.2,22.7,558719079,2277705144
2026-05-11 19:50:31,1.5,63.2,22.7,558719079,2277705246
2026-05-11 19:50:32,2.5,63.2,22.7,558719079,2277705348
2026-05-11 19:50:33,2.4,63.2,22.7,558719150,2277705516
2026-05-11 19:50:34,3.8,63.2,22.7,558719232,2277705750
2026-05-11 19:50:35,5.2,63.3,22.7,558719322,2277705992
2026-05-11 19:50:36,3.9,63.1,22.7,558719322,2277706094
2026-05-11 19:50:37,4.0,63.1,22.7,558719322,2277706196
2026-05-11 19:50:38,2.2,63.1,22.7,558719432,2277706894
2026-05-11 19:50:39,4.6,63.1,22.7,558719613,2277707194
2026-05-11 19:50:40,2.0,63.1,22.7,558719696,2277707362
2026-05-11 19:50:41,2.2,63.1,22.7,558719696,2277707464
2026-05-11 19:50:42,2.8,63.1,22.7,558721681,2277716297
2026-05-11 19:50:43,3.7,63.1,22.7,558721681,2277716399
2026-05-11 19:50:44,3.4,63.1,22.7,558721681,2277716501
2026-05-11 19:50:45,1.6,63.1,22.7,558722123,2277717039
2026-05-11 19:50:46,4.5,63.1,22.7,558722495,2277717999
2026-05-11 19:50:47,5.3,63.1,22.7,558723122,2277718695
2026-05-11 19:50:48,3.4,63.1,22.7,558724457,2277745165
2026-05-11 19:50:49,5.8,63.1,22.7,558725322,2277758869
2026-05-11 19:50:50,5.7,63.1,22.7,558727377,2277763413
2026-05-11 19:50:51,5.6,63.1,22.7,558728582,2277772205
2026-05-11 19:50:52,2.0,63.1,22.7,558728921,2277772646
2026-05-11 19:50:53,1.6,63.1,22.7,558729158,2277772946
2026-05-11 19:50:54,4.4,63.1,22.7,558729295,2277773246
2026-05-11 19:50:55,3.2,63.1,22.7,558732918,2277779315
2026-05-11 19:50:56,13.1,63.6,22.7,558781819,2277786085
2026-05-11 19:50:57,9.9,63.7,22.7,558783914,2277809683
2026-05-11 19:50:58,7.5,63.9,22.7,559084650,2277816318
2026-05-11 19:50:59,6.3,63.9,22.7,559085071,2277817035
2026-05-11 19:51:00,6.8,63.8,22.7,559086380,2277817416
2026-05-11 19:51:01,7.4,63.7,22.7,559503155,2277824702
2026-05-11 19:51:02,8.8,63.7,22.7,559503939,2277832396
2026-05-11 19:51:03,6.5,63.7,22.7,559506317,2277866493
2026-05-11 19:51:04,5.8,63.7,22.7,560198623,2277884898
2026-05-11 19:51:05,7.8,63.6,22.7,560198875,2277886362
